business_types,legal_form,authorized_capital(thousands),revenue(millions),net_profit(millions),from
10,2,601840,6025,2488.861324406008,16
4,5,326772,80149,38239.91371642477,17
13,1,430100,72717,25101.39536630862,3
19,3,386551,32648,26650.65638497592,29
17,2,124952,82814,11516.51485615013,24
10,3,310348,47260,43637.18976018955,16
8,6,519721,88756,31358.887744724907,15
6,5,368712,78163,24482.286942057468,3
3,2,578151,76709,44821.81375048734,13
21,2,569551,79251,13402.392012347616,26
3,3,104486,98858,46483.62832059576,46
12,4,583888,16690,16270.090372711544,2
2,4,16808,11039,3562.100374619448,46
15,1,9007,78844,10367.163596375301,23
12,3,386129,2614,1779.015989876249,16
11,2,903543,36910,34503.769632773794,15
6,3,3170,38526,22118.12006019612,44
9,5,269346,43709,39150.03224496534,45
10,6,496359,43391,17546.032409330237,33
14,6,588356,78366,8990.01730402165,42
20,6,507702,64335,21310.34457824491,23
12,4,946092,60916,8671.003734675664,45
13,6,570779,21725,11172.09222174793,7
8,4,206276,58450,22808.847840950108,25
18,1,423035,79716,76478.44436997444,48
20,1,830804,78400,28292.790147941596,4
19,1,278338,36382,34037.580194911956,6
2,6,628375,72815,69589.7081522,28
9,5,562984,62167,10561.445925541482,24
14,2,416524,90933,13813.507083311759,41
5,5,269099,91042,25009.064194500053,17
13,3,871198,52300,35841.71108939309,33
14,5,533905,62131,60381.237072579956,21
12,1,446491,36926,33395.08772245194,30
20,6,271144,87557,28752.05098041942,13
1,3,56212,48249,38028.3181088395,28
8,3,139619,57950,50544.58343499599,2
5,2,10404,63061,2788.647385489898,29
15,6,169351,42367,29753.13783292747,3
4,2,721223,52265,40954.454020143436,9
17,2,188624,32970,29723.033906113455,48
9,6,844303,88253,52277.20014228121,2
11,6,509670,67539,18653.246610778064,3
7,1,284177,41261,21129.759225338847,41
11,2,813515,9664,5703.363630166868,10
9,6,244736,76528,48797.030621243015,27
10,1,140726,56063,37534.50220846409,5
8,2,560559,95579,62593.517220604415,36
14,2,987205,66532,43322.9122219817,45
4,2,347648,17376,2155.752107037895,30
19,2,206835,65205,4838.717021596382,17
4,3,313969,53139,26025.909836413553,38
5,4,54648,21799,8954.568783464254,35
7,2,366641,45470,24264.661318317787,23
20,5,863664,90896,1164.8671035314503,15
19,6,310013,95216,26895.13002773596,40
14,4,926641,95139,63957.59005257664,40
19,5,371481,71962,68029.64181409124,40
3,6,177244,93698,35482.62134816721,26
6,3,517630,88802,29919.940787182444,36
3,6,592139,57411,45875.34738398782,16
6,3,603886,55707,33205.49784846933,47
3,4,382924,5110,41.7669095876515,24
3,3,159259,82217,14563.503374089352,19
12,5,423124,60523,48167.29347713938,28
12,3,248113,45049,6164.006586114842,4
17,3,526439,60946,26092.431816381213,47
11,2,416213,46955,2185.7358245497944,34
6,4,972440,99435,63603.73305317339,0
13,3,806373,64218,16367.39630220993,2
7,4,566193,44406,39760.5681925645,18
5,1,863101,72206,241.49534506597297,34
3,3,811773,66240,21406.70294753603,7
21,1,248078,7994,5918.013235008984,24
2,2,472096,27944,17854.91430176125,46
2,1,115424,21742,6792.707465332238,29
16,6,528447,96792,84283.14866749573,25
20,6,99536,15565,13682.768285639233,17
19,6,129454,51657,28807.996602920586,38
3,2,151577,88195,50759.20286304384,40
11,4,414763,52626,5556.74681865285,0
6,3,909156,87077,32216.680222593677,21
9,4,83536,55417,43789.96906923427,18
19,2,248750,25753,20326.81143422312,13
12,5,114934,5259,1686.8737923716337,38
3,2,900021,64552,14913.086883501332,37
14,3,419830,60224,5322.541570778525,24
10,2,729854,91778,9276.378163468024,45
7,1,533225,87687,21517.566570934436,10
11,6,765468,59194,28858.326102748273,7
11,3,768489,72872,30444.298416265752,3
4,4,660963,54684,14630.71974695646,10
4,3,121903,13687,8845.918781471137,44
14,6,303331,45224,8956.317784298926,39
5,4,804970,19848,3936.4461470453653,37
7,6,239769,18441,12242.888147325557,44
5,1,270041,70045,36359.20447624617,0
4,6,823017,30193,27543.86915169417,40
16,1,583394,96160,49725.001559443466,13
16,5,749133,72970,30119.38297553408,32
15,4,220666,60458,44151.18597325731,44
8,2,70078,63730,8342.952460758497,5
2,4,965377,30248,6493.541729036316,44
3,2,975844,12261,10715.292770713584,38
4,3,41797,5475,5318.371259335405,40
8,2,702914,33070,16638.376016002487,21
18,4,65734,15422,9338.677285233056,29
2,4,701723,8327,874.431153396524,8
8,6,67178,30321,14275.681140805687,39
11,6,551090,27083,1261.3764273120964,3
11,1,702733,60110,20599.284335728044,28
9,6,595961,7284,6020.516465674563,41
21,3,916508,2517,31.38067792857761,44
7,5,775978,77667,19115.549938761713,26
2,2,470728,20084,2992.678023616267,7
1,4,851992,35407,21027.80515853816,10
17,2,511036,50578,27191.316304011892,21
19,1,327234,9351,170.65672802394585,44
9,5,906914,26082,14019.321070768005,36
4,6,9653,87122,33521.0064755913,48
14,5,155202,79113,11784.106710148848,29
17,5,825583,89191,14980.799579071345,0
13,4,439571,78235,55715.50545232129,29
3,2,750537,61781,38099.316015206634,19
13,5,763086,19208,11018.08893078242,4
4,5,802582,65482,19370.205124905035,1
20,2,50263,65041,16428.75176203255,37
3,2,982619,49729,44615.89061951952,0
3,1,50113,32571,11240.497413219495,20
7,4,982103,54242,20746.934830180304,45
11,4,829577,60368,40945.73698617641,32
8,6,388563,52560,48181.49325615926,28
18,5,557093,21900,12242.397825647215,5
9,6,638087,14412,8073.235932284579,2
3,5,436715,35384,2429.0102789489715,25
3,3,436102,60635,11967.235114051802,10
13,5,436030,89047,59668.649873293805,35
14,6,828966,35747,12194.640300932266,17
7,1,421862,30030,27768.312741688667,43
4,5,820314,43990,24951.769516955996,5
15,3,106129,6295,2430.995008333559,18
15,1,753992,11061,619.241072161491,42
4,2,288193,27602,26408.50882900794,39
2,5,96490,33963,30905.55085739706,28
13,3,522532,3613,2753.8838586415395,21
14,4,496631,88237,39778.583851561045,31
5,1,799049,29835,27835.624901964664,12
3,6,909012,17736,5398.62749322264,35
15,5,124774,97594,66020.10149456936,19
14,4,749296,27337,22.693340834094574,20
6,4,757128,30007,19919.3990047622,11
14,3,767642,33586,27350.6667221514,20
3,1,643520,48441,40075.41163720885,45
11,6,949461,5814,3062.8823539168125,26
15,4,32546,93224,55594.010653288235,2
16,1,262562,23260,5115.767016958318,29
1,1,780378,98473,82111.03766159908,29
21,6,401845,14806,5899.3517551148,39
3,1,800440,28833,26183.557120975613,39
11,2,347239,14782,7942.067165508045,12
8,1,704221,94885,54634.70590043324,11
19,2,782538,74184,19119.15550148394,17
7,2,142852,77558,57911.682565049516,38
17,2,341359,35109,15750.551174870021,12
14,5,866553,53112,8970.931063541118,32
16,2,582183,91667,27079.02930614695,44
7,3,194581,40143,19094.35206981605,1
4,6,382888,83750,79611.85985499035,48
16,2,213521,97519,63228.414630057465,4
12,1,596610,3263,275.08775819821403,11
1,1,610321,31136,25984.266608999285,47
19,3,226952,59388,56662.244069935645,26
12,5,919388,15016,4252.659315193733,1
2,6,618028,56634,31019.876777923913,33
14,5,594860,62592,22007.246191576203,2
7,2,967414,260,32.67963176415735,21
12,5,488462,25268,7110.766094081247,18
15,3,852438,47924,3270.337797074974,41
11,6,349612,7577,3384.123415089562,45
8,6,701861,92450,66743.74114695149,2
11,1,547223,39434,7969.608201482666,41
17,3,221642,77472,55558.53830645889,19
13,6,99712,39121,19746.525258239195,19
21,2,167356,57298,15617.566569636183,27
20,2,706451,36059,14650.275949583036,36
7,5,713001,88422,83954.94095148967,12
20,6,687032,42912,32439.198032977045,18
4,2,806345,37577,22630.097199597894,0
15,1,134462,91515,5630.597722644715,20
5,5,531566,27899,3913.111880490373,34
1,6,96164,98788,65887.29682147081,34
8,2,638310,30843,27453.095021116555,33
1,5,455939,36804,5309.450009285718,23
6,4,791449,48432,42514.440376016,9
15,2,760355,60541,38940.431235385004,38
5,6,254390,26727,23649.49403542944,1
1,3,717979,83973,44058.283968166936,45
18,3,742743,34753,30934.624171640808,20
1,6,399372,91912,30035.49059347833,19
20,3,748844,70813,35966.782991270244,31
9,1,34860,67547,5019.367720041305,44
20,2,826308,34508,1946.8429482904723,15
12,4,947901,4744,1140.7956744340804,45
2,2,401005,92803,61822.39176588285,35
11,5,197490,62992,14256.433486380494,27
5,3,645101,48221,14859.049116677255,38
1,5,487156,41552,26120.709162867668,21
6,1,685983,9700,8212.523368795639,35
16,3,792911,12629,5796.143802932432,2
1,3,317028,23953,1288.9855020865439,11
6,4,543498,65723,39828.428144729914,35
16,5,269950,96564,86541.60163487644,36
15,3,376786,7875,3081.01935843287,5
7,5,464252,94187,26403.23983342689,44
2,6,779692,17660,12806.921899987696,28
9,4,892475,75589,11197.792451914505,15
4,3,606483,55010,39211.083348706954,21
18,4,657055,19814,2749.743209154935,16
4,3,764320,28526,26294.413650135935,11
11,2,316215,76959,4588.331289959236,43
15,3,733751,42930,31438.030622159782,7
20,6,474085,86765,62588.35873323603,2
2,5,201901,18629,5246.555464625916,2
3,6,910746,20613,13878.19664228805,12
17,1,287865,59655,53544.66647266451,43
10,1,120315,57970,12888.044556416691,7
19,2,624352,63478,40533.63375343451,24
1,2,808343,64360,7823.715860822579,44
6,1,617522,13808,8895.362017512123,48
3,2,649597,68749,3057.7311280835834,18
11,6,436153,89159,21358.78560986083,12
21,1,611103,28813,15622.094852249746,35
17,2,239063,96313,67536.01146224636,31
6,2,813122,52741,38037.27309188789,34
19,4,55148,74842,60466.58445994745,29
8,3,20444,21123,17117.459198663575,27
6,6,904050,1154,289.12500227963545,22
10,5,254671,57421,14554.589264494447,19
11,3,538787,14871,5616.2277635325745,7
16,5,868374,22370,6658.234088942805,27
9,2,753586,68684,62025.252563277194,15
13,3,217853,24210,18210.329490863067,37
11,6,356689,41116,39863.088379071065,14
3,1,509054,38003,32574.363651561423,37
9,6,238851,30910,19775.64804418943,26
8,2,785364,80537,2037.754016402121,2
21,5,627350,844,735.9004266644916,25
2,4,870404,42429,4688.77781811612,24
13,6,913328,51014,4384.07735567334,8
3,3,871682,3369,2353.226014821681,39
1,4,841297,86171,50188.62854606507,24
19,5,368433,60357,49300.89888865866,6
15,6,381997,29616,22763.786263411723,43
5,5,109188,9442,304.9581296115881,15
11,5,351215,30115,22530.91638688373,8
15,1,576939,18021,7430.630837571462,45
13,1,952596,8213,1956.3010206041517,30
5,4,973292,28379,7434.881113417665,47
9,2,579270,68781,27826.668565056043,36
20,1,33078,64180,37039.30280945062,44
19,6,649216,96204,14195.358720950198,36
5,6,913889,41675,36228.4135485924,33
10,1,497144,2811,2276.9546467427226,31
18,2,684995,78599,43462.55540465674,29
3,3,353990,24748,10089.087420945385,45
21,3,883194,65427,26821.699971075126,48
3,3,929889,69716,58611.08080079913,31
6,5,886682,44421,24203.77117205414,16
13,2,252713,20140,14345.252112219528,37
1,6,730399,64630,23963.21339990827,18
5,5,38416,80824,32173.512936681385,39
5,3,44457,34541,24105.990479672288,39
2,1,543835,81263,46834.547059549725,43
3,4,484963,22312,7474.040087348406,16
10,1,511780,40418,18839.85023541963,45
13,3,788498,89009,83580.28924197935,9
9,3,844445,10367,6534.15243682235,3
11,1,96068,85954,34380.301996729635,36
13,3,612844,20169,3946.929186922778,19
7,5,788052,62061,31970.155842339227,19
8,2,293277,97704,7428.897430580732,19
17,3,242599,57586,21637.29294230139,47
18,5,948637,3477,188.61401471601653,42
7,5,697705,96321,86489.16581304294,33
13,4,988996,4783,1870.4629427866887,35
15,2,815254,79672,50222.84218656956,46
6,1,86467,67973,33150.10761934248,9
18,3,934632,25989,5774.474657419298,19
21,4,652089,90408,29894.598992338022,30
15,4,908720,44462,20153.298707790724,26
21,3,605152,54561,35654.63972915271,43
15,6,664231,14904,3506.9968329031735,2
8,4,551639,50940,42368.54761810104,42
21,1,631169,98827,25448.521512068088,38
20,6,890328,57215,12504.949943693153,18
8,5,960145,88638,21755.692996111993,4
19,3,284220,28428,22045.281868350536,17
4,1,5981,9599,4992.275788026247,46
7,4,536087,879,42.08943581135989,36
15,3,273304,90290,73936.51556851566,26
8,4,474033,51574,46463.4798554446,2
21,6,589288,42644,25100.98978234334,3
7,2,474368,77045,31712.750030154602,43
14,2,133710,13745,6442.859277399252,41
1,5,947653,3553,2608.47562934882,45
4,2,375233,95362,53592.46433483622,7
3,4,66665,65247,37791.22873027732,34
12,2,466705,15868,3137.4374571420926,28
16,2,608332,78156,14042.661577036435,9
5,5,172686,53692,4887.392508261247,31
8,3,369083,20374,17967.11753784279,8
5,6,318268,77391,71655.52092616048,9
1,3,633459,93734,3563.672487535317,9
16,2,217306,6394,5219.947816775948,32
9,1,575418,79211,29097.74110451688,36
11,4,34871,35514,19007.52366320449,34
12,5,204968,28047,26987.406737586265,45
3,3,47034,78547,64170.75533267001,5
17,3,882199,68578,8573.771235782018,8
9,5,248353,36158,1073.6470278657218,0
9,2,366330,22183,12840.543104506565,41
1,1,675300,73250,46414.88725568805,26
3,3,126384,93328,47995.45785076506,29
14,6,241371,34383,23032.499180507875,29
5,4,826449,56724,32112.67833082471,6
2,2,437707,21201,6735.963449763109,45
7,4,788444,27541,6722.879011068304,27
12,6,946695,95565,78104.44903140384,29
12,3,921541,43335,10777.651001480466,9
14,4,639915,80161,3133.503908646779,14
12,5,455280,64445,33347.0607350982,3
5,3,985723,87957,26284.85508273997,7
19,1,878395,22341,13746.197271630772,14
6,4,42504,48212,45192.21863035086,7
11,1,617710,53700,14222.790664323646,37
7,3,126412,59309,53395.043398205176,2
20,6,627272,22085,12829.758603969727,41
2,4,14416,31288,8732.668776369806,23
18,1,940029,11276,3793.316936055688,46
12,1,118094,44150,35908.81961040561,30
10,6,369800,40472,14997.447550035351,22
19,4,819305,10023,5519.7688395041905,19
8,2,239800,37593,25299.651693922722,20
6,2,468607,55824,35628.194936277636,16
5,6,561446,36619,16859.202173821803,35
3,2,637216,61112,5405.964195663185,24
17,2,579528,82879,51233.23209370327,12
1,6,855876,84750,58188.61578840735,23
21,5,469252,43534,42339.46422728635,21
19,6,177382,30734,15171.984827294671,22
21,4,210046,81202,17006.506849099773,4
4,5,393344,21248,21113.800338436806,4
11,5,171045,10472,4262.971270475814,47
9,5,696162,15116,13209.369293459258,33
7,5,267700,11372,128.6387543023159,0
7,5,274867,73235,40179.932069502036,28
8,5,72043,27103,1985.5536572427893,31
12,1,222989,81065,79690.45919181498,33
9,3,393929,55430,40486.37807487374,2
12,1,924840,32041,21371.556797167024,17
1,5,114668,34253,16927.624697601073,8
15,5,443717,9092,2432.0816634278226,0
9,2,523040,89411,4015.0977752493536,43
5,2,744098,14375,5021.470568149839,14
18,2,434839,22566,8575.83439826726,28
6,4,407763,97194,90619.93695676902,0
13,2,502560,5570,4704.740673340086,41
1,6,178705,19371,11870.710301136483,24
16,5,111024,93115,9320.868277538497,29
4,1,779410,60385,12166.503782869715,4
15,2,418075,69652,55634.46289431641,39
7,4,705137,85355,60361.50633946077,31
15,3,8918,16681,13806.971599253919,41
20,4,928959,40118,820.7143144934619,5
12,3,755558,13274,7426.170565203825,46
17,2,495632,5093,984.6207529987017,0
16,5,818918,7784,6371.326072992412,4
19,4,373915,47817,39126.14567440166,12
21,3,836913,87919,56145.950596719355,45
13,1,29907,50018,28435.55076020534,19
12,2,435491,41148,28939.12891849313,28
18,6,212652,84978,24026.81817810572,30
18,6,916837,18798,552.7303672060616,12
14,1,627488,13092,5460.9181192054675,35
4,3,542395,49746,24998.113556398177,20
5,1,279209,2206,548.95829327349,25
19,1,699535,83708,79390.01402973048,15
18,4,365231,10355,2204.834028814939,42
18,1,277169,68505,62415.71077382295,7
17,1,417821,72893,34441.511132671134,19
2,4,934988,64811,3205.3910472009966,41
18,1,42223,27709,12216.946883167531,48
12,1,538217,93282,86606.50749784657,17
17,4,560528,43190,14699.242369904123,35
20,4,811370,64056,33856.814857906786,0
13,3,925133,41362,32056.883132032024,20
19,4,235021,56997,43653.41253062549,21
18,6,940211,20925,17392.587011205775,47
4,1,409143,92925,46695.65994982169,48
9,2,149063,14492,2796.5949862621915,23
18,5,244064,54950,23268.486307223182,42
7,3,543954,74500,46151.519017879386,33
12,2,213826,6419,4398.532751731223,30
10,4,6117,48635,15122.289892733941,28
15,2,875770,45241,7345.04753410743,28
15,3,231363,22349,6160.5099773561205,3
21,5,303729,92259,26212.668075181624,17
16,2,264036,853,450.8583523229736,35
5,5,981551,39189,26061.206956707316,20
20,3,309529,70696,42454.23267360879,37
16,3,497606,62088,6816.444651862464,48
20,4,116439,73,38.98941178936263,5
9,6,356006,10493,5808.237131554762,29
7,6,896208,15577,4589.259039439129,5
8,3,675059,39783,13250.784089383009,47
2,5,887691,90524,48722.55937654679,8
20,6,99693,82902,14964.47800987429,10
15,5,800730,55584,1420.9921221640861,6
10,5,499368,71073,24838.507100640738,30
8,4,560589,85778,31047.3211517763,24
2,6,394496,37043,8006.259039576582,25
5,5,233336,32055,28690.864358262992,23
12,3,330611,34154,6372.344331065685,3
2,6,304534,22663,12630.691731835488,18
18,2,636500,16120,706.9992286966029,18
19,2,889879,67045,19080.30909876754,19
2,6,823503,54759,41224.35381331081,1
15,3,106714,61825,16594.501574145088,13
3,1,767240,82231,45283.964259973116,10
12,4,353725,92315,47857.16830828416,31
17,2,376359,91379,53632.179904352815,42
7,6,938595,8098,449.04324458566435,3
21,1,448180,55104,43558.602937641146,0
5,1,380266,61451,49748.383117020996,12
5,4,67273,28751,23367.976377258467,6
12,2,720184,19646,7967.168270687815,38
6,6,928246,71426,34724.481248100965,31
15,3,951953,15691,5318.463756341939,26
12,4,604330,68524,26629.50136077365,41
15,4,929217,48237,38340.62967766447,41
5,1,206677,29741,3449.027421561696,39
12,5,45340,80545,62737.3974102519,7
2,2,215927,25606,1448.3786107401436,44
13,2,78150,15609,10569.210990005686,27
19,3,651725,57764,29945.276569159036,39
1,6,749410,90444,90425.46259559771,3
19,6,755460,34802,31705.69416879934,23
12,2,33236,39530,17141.75277064425,24
2,5,395910,24275,7024.208681199213,12
11,4,419054,80824,34821.444294544825,35
17,4,58055,43155,32748.43691645753,46
12,1,68737,70080,32348.78933212812,23
21,2,747262,64842,31759.45507886075,16
12,4,478699,5648,4290.907520505412,32
7,4,680185,78230,23234.905920746758,0
17,5,140256,21817,18625.48164399225,42
19,4,372255,84493,21417.053383915274,42
13,3,152792,80545,62425.01552889738,41
13,2,913782,48386,39918.545965549434,13
13,4,541271,62752,35889.23371374282,5
20,1,577260,35312,29457.061532646087,11
17,6,482195,79200,8972.254206789788,5
6,1,689309,76417,56683.716459603784,0
21,5,321751,39368,32295.367945939197,4
4,5,207385,54807,42407.51502541064,0
18,1,616661,37664,32962.07836924542,39
14,1,185134,87057,55419.204013735165,39
18,2,677857,63155,10127.820211703918,7
10,2,442188,20009,13543.87428784979,5
13,4,377457,2945,514.1719056329644,42
4,2,854184,81210,8624.508230572606,37
6,6,115864,74548,31287.409846726827,10
1,5,228294,24998,5913.4791032816665,1
5,2,581557,38632,23241.687505630754,31
3,5,771994,24184,9295.648690674603,48
9,2,612702,87493,44604.198307567334,39
20,6,849293,82933,58239.7022736544,9
10,6,861709,56527,2091.774875972571,30
21,1,69796,49244,26487.102731350216,13
12,4,725710,9965,5136.130920893961,28
20,4,861616,14480,12639.162173551738,9
16,1,530758,8668,8374.529856979174,48
13,6,66655,55963,2037.3496315554667,11
1,1,643628,81774,9460.076589170407,29
3,4,421580,69077,12546.832315502033,37
6,4,281297,12782,6136.940742717314,44
14,6,230783,54087,52322.9158696229,5
11,4,239212,1855,1323.5191308160781,25
16,3,228963,16999,5117.4296626667665,38
8,2,594097,63860,29122.853570578704,5
2,1,284985,57475,31644.555385865166,41
16,4,490375,58605,8951.549448236436,13
20,6,474424,30146,28598.89460863186,13
21,4,100188,87812,85686.0096566406,37
9,5,136404,23557,5263.811910408749,0
19,4,563974,60048,30481.02420031319,44
19,5,288622,58165,24834.559708467066,32
13,5,113693,16817,10226.099542210759,45
6,2,236713,80079,68041.13968610587,7
5,3,939623,5454,3696.2466095697705,25
5,4,156073,85782,6779.174380140706,10
15,3,420727,83501,37713.02496162162,38
17,5,410003,9738,9134.806900112631,2
1,5,188243,82325,30327.869853150663,25
6,2,919040,82831,57680.14833607192,1
13,3,927484,85035,78888.8743301497,4
8,4,729759,58152,6383.28402110972,5
18,5,757830,61408,48419.35310883945,37
4,2,846892,46205,1213.0673436484713,20
4,5,301378,13652,5378.195461672209,14
8,4,654875,43046,42394.90832481732,2
11,6,193220,75307,67560.26298084459,46
21,2,402158,24430,8107.946475576606,0
17,4,934531,33957,27000.0269195535,46
21,1,70507,14573,11389.81855708556,14
19,2,508735,24193,19664.142194162574,37
6,5,216198,80313,78450.92669714357,1
13,2,455790,90033,39300.017671412446,14
16,1,251293,58508,23364.26425961625,12
8,2,391142,70110,7535.255669149697,21
2,2,772854,43331,34092.145144748494,12
7,4,776630,26567,14246.321688017944,10
18,5,554493,17495,13834.934855499328,39
14,2,157735,87329,22032.770300428438,36
21,1,791211,52905,41913.76648055111,34
19,2,845471,54444,49680.51614740712,40
18,2,140177,66914,51097.76803488063,1
8,5,649739,15050,3558.6335685899917,16
4,6,307696,61956,10616.09430986594,25
20,2,721709,87776,13215.73205747372,16
11,6,163298,73284,53465.83245490735,32
5,1,44944,83316,48018.69500452125,28
2,4,930608,12442,5127.506753599806,45
10,6,260035,26465,11792.86681543008,22
14,4,153367,7487,7433.263421673306,38
3,5,86136,67127,32551.201453769725,1
11,1,565518,14519,2161.700526057301,29
12,3,124312,53359,14671.743879562373,38
16,5,351982,44819,44232.07015227261,42
9,1,601401,23277,7164.488170036118,48
1,5,222211,70260,59084.198421844616,26
13,3,150503,59252,22120.379683757248,41
3,3,571523,37039,6398.874306643687,26
1,4,56733,78335,13290.026455922227,35
15,5,979390,44549,27914.88670674978,33
11,5,601738,29407,8637.275686415169,12
5,1,27251,77466,54470.5647675671,36
13,1,572133,41875,12379.088323524655,15
5,4,76434,83169,271.58208991617875,19
5,6,515182,63169,37766.294317498694,46
18,1,872066,22110,16752.863122353174,30
11,4,155648,76165,72318.20912042799,18
16,3,502934,56009,27391.76118377418,0
6,6,417742,59054,23058.969956326666,45
6,4,905646,11370,5615.866726274249,29
10,2,367995,88005,63686.34699378311,1
9,4,393102,39073,25257.33935631932,24
14,5,175753,46688,20451.81182866944,20
14,2,265234,53203,3615.502281938352,20
1,6,658668,84858,11427.801815640272,34
16,3,398204,909,157.55023916635878,7
3,1,944318,84944,53111.93472628986,2
2,5,918813,38365,7145.722520649673,40
15,1,822354,4598,2111.117642636498,25
20,6,268947,32132,26097.988540843326,9
2,3,111393,59759,2280.9197132156555,5
19,1,98608,2648,851.7861247956552,19
13,2,149926,18200,11777.025535091123,27
1,3,428353,3175,1174.822947407058,1
8,1,176009,31791,12574.912912264483,33
8,2,216915,85087,75484.32645577932,44
14,1,873577,72461,43568.22971409703,1
12,1,426238,38350,32615.551655164247,8
19,6,449802,50023,29458.113605934243,0
17,6,517381,63618,20190.702751330984,18
21,4,390067,84054,20959.312358995543,40
13,2,301027,67153,51012.85360871998,43
15,5,631600,86927,3501.2564166940833,3
17,2,369582,3150,2039.215016688176,22
4,2,733490,62613,39318.32527229503,12
2,6,985983,30432,29705.233401004938,40
1,2,747012,94725,82837.18978402851,36
21,6,867397,48114,1487.720925111311,43
16,2,426510,21964,19091.0901853765,25
7,4,837961,11199,10741.4730590393,43
1,3,604566,86929,42087.80016353461,26
21,3,612457,54559,27606.94867932685,43
15,4,167650,74230,59924.674491936305,13
9,4,149925,80468,46889.914300126766,5
8,4,412409,91675,72792.5768556039,26
16,1,689207,71201,51288.153976671296,3
1,2,531492,31925,16228.80514269264,42
15,4,769417,37203,20020.29176843355,34
14,5,239123,64857,34238.42338337934,25
10,4,574531,408,88.69971110349346,7
10,5,248807,93942,74970.85343022576,25
20,2,771350,86600,20342.967259914676,31
16,2,51957,33786,536.9162152047084,26
12,2,696243,29289,23950.838015535053,18
14,6,617655,83642,23729.758402749132,31
18,3,645524,50680,35895.366314858606,23
20,1,535748,78962,43487.77351321654,30
6,6,420583,52512,34898.44179775463,31
3,5,435341,74495,23348.355299634975,29
15,3,239513,91038,88607.73947320085,24
6,1,988017,93400,22013.202394539403,5
6,6,272940,4349,2781.2817264592036,17
12,3,621777,89717,8633.473155919686,22
1,4,81210,11115,5418.60804686708,4
10,5,169810,71879,32316.15873865924,40
3,6,450966,1265,422.2020252375665,11
6,6,320831,74789,30495.57427962907,1
21,1,312745,62743,3670.7227416740234,24
21,5,717398,77118,76439.03834982537,20
14,5,545660,63140,2066.919601702698,10
19,5,821961,24701,23040.119679966334,2
18,4,732133,92112,61297.0015904599,29
5,3,172359,8715,4131.847929802312,6
9,3,548321,23601,483.82131501915467,1
21,1,462681,26227,23251.29535341883,11
12,3,759028,38193,15632.794408909716,34
13,2,338723,69667,7146.951876603533,24
3,1,248351,55246,11770.54676548162,45
16,5,808293,81175,9080.763693114584,16
10,2,943166,2539,138.8619584583433,20
5,1,296071,68842,52078.124799153746,44
4,5,202953,45395,1999.9708500568695,16
20,4,307821,886,455.5081867610254,37
4,5,553962,81115,78775.53126618334,4
19,5,898429,69106,67732.8157315841,32
3,5,647322,49839,43307.39785853847,24
18,4,261002,23570,22109.832809748717,33
19,1,978752,31611,15767.063177602076,11
6,6,312574,65662,45406.19736093898,34
12,1,206345,23757,5789.805622118925,1
15,5,440925,33689,33033.444568784784,11
21,4,148742,30704,16575.5810078142,25
3,4,36985,98437,9785.76858881112,11
21,3,131419,73760,61810.50546832882,41
16,6,164185,61643,55765.49442530712,5
8,3,92150,53616,37836.33727538881,20
13,3,294495,49202,42803.81494111154,2
3,4,312155,93449,75976.56625698689,22
8,1,730360,62586,17538.90303846525,22
13,2,580083,9440,6149.827341112335,11
3,2,58160,19568,17586.81001275307,40
21,3,174947,34514,23731.905467172277,48
2,6,498103,23519,20029.147596274535,25
3,3,774098,32181,16075.736694121317,19
13,4,978630,63088,37377.68464729876,40
21,2,288369,34384,4674.994597459325,31
4,3,945141,67504,23496.73522368407,11
6,4,321357,77126,43020.31814279204,15
18,1,469964,54527,47082.51469901578,17
15,3,167332,47583,19428.693409599688,24
17,6,537862,60104,12023.568947875707,18
4,4,208345,32671,23390.371206187145,32
11,1,325950,14286,2158.8611663301513,11
6,3,43596,62418,8192.355383946744,15
18,2,695206,32607,14680.430927082047,46
3,4,428547,15128,11643.497445576297,46
14,5,826789,97168,45781.73365869852,22
8,2,93833,43640,8968.152119361734,39
17,6,968020,56684,46445.860215247194,42
11,2,382402,58718,31100.03211751548,21
11,4,331222,9194,4239.857504497239,1
1,6,53312,6145,4788.037579509063,42
5,3,730302,38156,13695.604252620144,18
12,1,19793,86242,11266.550713592636,11
19,5,264882,35164,6296.775326388597,40
6,3,685846,29111,17770.606300926032,8
12,1,956329,2003,214.16768204117216,16
11,3,896654,15418,902.4277657846982,13
6,2,121469,65324,41677.425668760705,24
6,3,416602,401,277.93265292410047,4
12,2,886213,76635,65236.1958196745,4
3,2,584627,36703,28289.621464655942,21
7,1,281232,62744,16004.102893529383,19
21,6,697121,36497,17121.559264865627,16
9,6,668851,67079,35095.52361735412,0
19,5,93056,21735,16770.194383058377,22
19,2,302946,73121,23522.178000827327,33
17,1,330700,50909,36813.30811710475,20
7,2,219073,8882,1237.0294412912078,0
2,4,833264,86883,50857.618261675685,39
21,5,744963,41439,13250.231676795534,17
1,3,787042,282,137.00671272763026,6
1,6,387013,80826,46413.621850173455,38
17,5,690283,608,476.4240834542682,25
20,2,732354,60441,45493.07103578765,40
3,3,386141,70754,39497.41575603778,7
15,6,52282,4729,1732.4598803309973,40
9,4,765688,62189,4286.004529997215,2
6,5,65146,42577,40197.675305114084,12
7,2,886832,74194,60897.704134413245,27
3,6,518446,21831,17358.398316200917,46
